,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
z_parameter,gcc,,5C7E0,8006D880,B5C0,05C840,8006D8E0,B6A0,5C840,8006D8E0,B6A0,5C7D0,8006DEB0,B6E0,5C860,8006DF40,B6D0,5C7D0,8006DEB0,B6E0,5C860,8006E040,B6E0,5C540,8006D420,B6D0,5C540,8006D420,B6D0,5C520,8006D400,B6D0,05C520,8006D400,B6D0,5C4B0,8006D3B0,B6F0,5C4B0,8006D3B0,B6F0,5C520,8006D400,B6D0,065780,800825E0,BF00,065780,800825E0,BF00,65780,800825E0,BF00,5B320,800742C0,AD60,5B4D0,80073F10,AD60,
z_path,,,67DA0,80078E40,1D0,067EE0,80078F80,1D0,67EE0,80078F80,1D0,67EB0,80079590,1D0,67F30,80079610,1D0,67EB0,80079590,1D0,67F40,80079720,1D0,67C10,80078AF0,1D0,67C10,80078AF0,1D0,67BF0,80078AD0,1D0,067BF0,80078AD0,1D0,67BA0,80078AA0,1D0,67BA0,80078AA0,1D0,67BF0,80078AD0,1D0,071680,8008E4E0,1C0,071680,8008E4E0,1C0,71680,8008E4E0,1C0,66080,8007F020,1D0,66230,8007EC70,1D0,
z_frame_advance,,Real name z_pause?,67F70,80079010,B0,0680B0,80079150,B0,680B0,80079150,B0,68080,80079760,B0,68100,800797E0,B0,68080,80079760,B0,68110,800798F0,B0,67DE0,80078CC0,B0,67DE0,80078CC0,B0,67DC0,80078CA0,B0,67DC0,80078CA0,B0,67D70,80078C70,B0,67D70,80078C70,B0,67DC0,80078CA0,B0,071840,8008E6A0,B0,071840,8008E6A0,B0,71840,8008E6A0,B0,66250,8007F1F0,B0,66400,8007EE40,B0,
z_player_lib,,,68020,800790C0,3A30,068160,80079200,3A30,68160,80079200,3A30,68130,80079810,3A30,681B0,80079890,3A30,68130,80079810,3A30,681C0,800799A0,3A30,67E90,80078D70,3A70,67E90,80078D70,3A70,67E70,80078D50,3A70,67E70,80078D50,3A70,67E20,80078D20,3A70,67E20,80078D20,3A70,67E70,80078D50,3A70,0718F0,8008E750,3BD0,0718F0,8008E750,3BD0,718F0,8008E750,3BD0,66300,8007F2A0,3A70,664B0,8007EEF0,3A70,
z_prenmi,,,6BA50,8007CAF0,1A0,06BB90,8007CC30,1A0,6BB90,8007CC30,1A0,6BB60,8007D240,1A0,6BBE0,8007D2C0,1A0,6BB60,8007D240,1A0,6BBF0,8007D3D0,1A0,6B900,8007C7E0,1A0,6B900,8007C7E0,1A0,6B8E0,8007C7C0,1A0,6B8E0,8007C7C0,1A0,6B890,8007C790,1A0,6B890,8007C790,1A0,6B8E0,8007C7C0,1A0,0754C0,80092320,1E0,0754C0,80092320,1E0,754C0,80092320,1E0,69D70,80082D10,1A0,69F20,80082960,1A0,
z_quake,,,6BBF0,8007CC90,E70,06BD30,8007CDD0,E70,6BD30,8007CDD0,E70,6BD00,8007D3E0,E70,6BD80,8007D460,E70,6BD00,8007D3E0,E70,6BD90,8007D570,E70,6BAA0,8007C980,E70,6BAA0,8007C980,E70,6BA80,8007C960,E70,6BA80,8007C960,E70,6BA30,8007C930,E70,6BA30,8007C930,E70,6BA80,8007C960,E70,0756A0,80092500,E70,0756A0,80092500,E70,756A0,80092500,E70,69F10,80082EB0,E70,6A0C0,80082B00,E70,
z_rcp,,,6CA60,8007DB00,1900,06CBA0,8007DC40,1900,6CBA0,8007DC40,1900,6CB70,8007E250,1900,6CBF0,8007E2D0,1900,6CB70,8007E250,1900,6CC00,8007E3E0,1900,6C910,8007D7F0,18C0,6C910,8007D7F0,18C0,6C8F0,8007D7D0,18C0,6C8F0,8007D7D0,18C0,6C8A0,8007D7A0,18C0,6C8A0,8007D7A0,18C0,6C8F0,8007D7D0,18C0,076510,80093370,2730,076510,80093370,2730,76510,80093370,2730,6AD80,80083D20,18C0,6AF30,80083970,18C0,
z_room,,,6E360,8007F400,17F0,06E4A0,8007F540,17F0,6E4A0,8007F540,17F0,6E470,8007FB50,1790,6E4F0,8007FBD0,1790,6E470,8007FB50,1790,6E500,8007FCE0,1790,6E1D0,8007F0B0,17F0,6E1D0,8007F0B0,17F0,6E1B0,8007F090,17F0,6E1B0,8007F090,17F0,6E160,8007F060,17F0,6E160,8007F060,17F0,6E1B0,8007F090,17F0,078C40,80095AA0,1B30,078C40,80095AA0,1B30,78C40,80095AA0,1B30,6C640,800855E0,17F0,6C7F0,80085230,17F0,
z_sample,,,6FB50,80080BF0,400,06FC90,80080D30,400,6FC90,80080D30,400,6FC00,800812E0,400,6FC80,80081360,400,6FC00,800812E0,400,6FC90,80081470,400,6F9C0,800808A0,400,6F9C0,800808A0,400,6F9A0,80080880,400,6F9A0,80080880,400,6F950,80080850,400,6F950,80080850,400,6F9A0,80080880,400,07A770,800975D0,430,07A770,800975D0,430,7A770,800975D0,430,6DE30,80086DD0,400,6DFE0,80086A20,400,
code_80097A00,,,6FF50,80080FF0,1C0,070090,80081130,1C0,70090,80081130,1C0,70000,800816E0,1C0,70080,80081760,1C0,70000,800816E0,1C0,70090,80081870,1C0,6FDC0,80080CA0,1C0,6FDC0,80080CA0,1C0,6FDA0,80080C80,1C0,6FDA0,80080C80,1C0,6FD50,80080C50,1C0,6FD50,80080C50,1C0,6FDA0,80080C80,1C0,07ABA0,80097A00,200,07ABA0,80097A00,200,7ABA0,80097A00,200,6E230,800871D0,1C0,6E3E0,80086E20,1C0,
z_scene,,File boundaries suggest entrance table and Scene_SetTransitionForNextEntrance should be in z_scene.,70110,800811B0,1490,070250,800812F0,14A0,70250,800812F0,14A0,701C0,800818A0,14B0,70240,80081920,14B0,701C0,800818A0,14B0,70250,80081A30,14B0,6FF80,80080E60,14B0,6FF80,80080E60,14B0,6FF60,80080E40,14B0,06FF60,80080E40,14B0,6FF10,80080E10,14B0,6FF10,80080E10,14B0,6FF60,80080E40,14B0,07ADA0,80097C00,18A0,07ADA0,80097C00,18A0,7ADA0,80097C00,18A0,6E3F0,80087390,14B0,6E5A0,80086FE0,14B0,
z_scene_table,,,715A0,80082640,6660,716F0,80082790,6660,716F0,80082790,6660,71670,80082D50,6670,716F0,80082DD0,6670,71670,80082D50,6670,71700,80082EE0,6670,71430,80082310,6800,71430,80082310,67E0,71410,800822F0,6800,71410,800822F0,67E0,713C0,800822C0,6800,713C0,800822C0,67E0,71410,800822F0,6800,07C640,800994A0,7420,07C640,800994A0,7420,7C640,800994A0,7400,6F8A0,80088840,6800,6FA50,80088490,6800,
z_skelanime,,AnimationContext_SetLoadFrame does not use segment 7 on iQue,77C00,80088CA0,4980,077D50,80088DF0,4980,77D50,80088DF0,4980,77CE0,800893C0,4980,77D60,80089440,4980,77CE0,800893C0,4980,77D70,80089550,4980,77C30,80088B10,49F0,77C10,80088AF0,49F0,77C10,80088AF0,49F0,077BF0,80088AD0,49F0,77BC0,80088AC0,49F0,077BA0,80088AA0,49F0,77C10,80088AF0,49F0,83A60,800A08C0,4F20,83A60,800A08C0,4F20,83A40,800A08A0,4F20,760A0,8008F040,49F0,76250,8008EC90,49F0,
z_skin,,,7C580,8008D620,BA0,07C6D0,8008D770,BA0,7C6D0,8008D770,BA0,7C660,8008DD40,BA0,7C6E0,8008DDC0,BA0,7C660,8008DD40,BA0,7C6F0,8008DED0,BA0,7C620,8008D500,BA0,7C600,8008D4E0,BA0,7C600,8008D4E0,BA0,7C5E0,8008D4C0,BA0,7C5B0,8008D4B0,BA0,07C590,8008D490,BA0,7C600,8008D4E0,BA0,88980,800A57E0,CA0,88980,800A57E0,CA0,88960,800A57C0,CA0,7AA90,80093A30,BA0,7AC40,80093680,BA0,
z_skin_awb,,,7D120,8008E1C0,910,07D270,8008E310,910,7D270,8008E310,910,7D200,8008E8E0,910,7D280,8008E960,910,7D200,8008E8E0,910,7D290,8008EA70,910,7D1C0,8008E0A0,910,7D1A0,8008E080,910,7D1A0,8008E080,910,7D180,8008E060,910,7D150,8008E050,910,07D130,8008E030,910,7D1A0,8008E080,910,89620,800A6480,9B0,89620,800A6480,9B0,89600,800A6460,9B0,7B630,800945D0,910,7B7E0,80094220,910,
z_skin_matrix,,,7DA30,8008EAD0,13A0,07DB80,8008EC20,13A0,7DB80,8008EC20,13A0,7DB10,8008F1F0,13A0,7DB90,8008F270,13A0,7DB10,8008F1F0,13A0,7DBA0,8008F380,13A0,7DAD0,8008E9B0,13A0,7DAB0,8008E990,13A0,7DAB0,8008E990,13A0,7DA90,8008E970,13A0,7DA60,8008E960,13A0,07DA40,8008E940,13A0,7DAB0,8008E990,13A0,89FD0,800A6E30,1390,89FD0,800A6E30,1390,89FB0,800A6E10,1390,7BF40,80094EE0,13A0,7C0F0,80094B30,13A0,
z_sram,gcc,,7EDD0,8008FE70,1350,07EF20,8008FFC0,1350,7EF20,8008FFC0,1360,7EEB0,80090590,1420,7EF30,80090610,1340,7EEB0,80090590,1420,7EF40,80090720,1340,7EE70,8008FD50,1340,7EE50,8008FD30,1340,7EE50,8008FD30,1340,7EE30,8008FD10,1340,7EE00,8008FD00,1440,07EDE0,8008FCE0,1440,7EE50,8008FD30,1340,8B360,800A81C0,1BA0,8B360,800A81C0,1BA0,8B340,800A81A0,1BA0,7D2E0,80096280,13B0,7D490,80095ED0,13B0,
z_ss_sram,,,80120,800911C0,1D0,080270,80091310,1D0,80280,80091320,1D0,802D0,800919B0,1D0,80270,80091950,1D0,802D0,800919B0,1D0,80280,80091A60,220,801B0,80091090,1D0,80190,80091070,1D0,80190,80091070,1D0,080170,80091050,1D0,80240,80091140,1D0,080220,80091120,1D0,80190,80091070,1D0,8CF00,800A9D60,1F0,8CF00,800A9D60,1F0,8CEE0,800A9D40,1F0,7E690,80097630,1D0,7E840,80097280,1D0,
z_rumble,,,802F0,80091390,2A0,80440,800914E0,2A0,80450,800914F0,2A0,804A0,80091B80,2A0,80440,80091B20,2A0,804A0,80091B80,2A0,804A0,80091C80,2A0,80380,80091260,280,80360,80091240,280,80360,80091240,280,80340,80091220,280,80410,80091310,280,0803F0,800912F0,280,80360,80091240,280,8D0F0,800A9F50,260,8D0F0,800A9F50,260,8D0D0,800A9F30,260,7E860,80097800,280,7EA10,80097450,280,
z_view,,Last function is gone on retail,80590,80091630,1730,806E0,80091780,1730,806F0,80091790,1730,80740,80091E20,1730,806E0,80091DC0,1730,80740,80091E20,1730,80740,80091F20,1730,80600,800914E0,1700,805E0,800914C0,1700,805E0,800914C0,1700,805C0,800914A0,1700,80690,80091590,1700,080670,80091570,1700,805E0,800914C0,1700,8D350,800AA1B0,1EA0,8D350,800AA1B0,1EA0,8D330,800AA190,1EA0,7EAE0,80097A80,1700,7EC90,800976D0,1700,
z_vimode,,First function is stubbed on retail,81CC0,80092D60,AC0,081E10,80092EB0,AC0,81E20,80092EC0,AC0,81E70,80093550,B70,81E10,800934F0,B70,81E70,80093550,B70,81E70,80093650,B70,81D00,80092BE0,B70,81CE0,80092BC0,B70,81CE0,80092BC0,B70,81CC0,80092BA0,B70,81D90,80092C90,B70,081D70,80092C70,B70,81CE0,80092BC0,B70,8F1F0,800AC050,E40,8F1F0,800AC050,E40,8F1D0,800AC030,E40,801E0,80099180,B70,80390,80098DD0,B70,
z_viscvg,,,82780,80093820,1A0,0828D0,80093970,1A0,828E0,80093980,1A0,829E0,800940C0,1A0,82980,80094060,1A0,829E0,800940C0,1A0,829E0,800941C0,1A0,82870,80093750,1A0,82850,80093730,1A0,82850,80093730,1A0,82830,80093710,1A0,82900,80093800,1A0,0828E0,800937E0,1A0,82850,80093730,1A0,90030,800ACE90,190,90030,800ACE90,190,90010,800ACE70,190,80D50,80099CF0,1A0,80F00,80099940,1A0,
z_vismono,,,82920,800939C0,860,082A70,80093B10,860,82A80,80093B20,860,82B80,80094260,860,82B20,80094200,860,82B80,80094260,860,82B80,80094360,860,82A10,800938F0,820,829F0,800938D0,820,829F0,800938D0,820,829D0,800938B0,820,82AA0,800939A0,820,082A80,80093980,820,829F0,800938D0,820,901C0,800AD020,920,901C0,800AD020,920,901A0,800AD000,920,80EF0,80099E90,820,810A0,80099AE0,820,
z_viszbuf,,,83180,80094220,2F0,832D0,80094370,2F0,832E0,80094380,2F0,833E0,80094AC0,2F0,83380,80094A60,2F0,833E0,80094AC0,2F0,833E0,80094BC0,2F0,83230,80094110,290,83210,800940F0,290,83210,800940F0,290,831F0,800940D0,290,832C0,800941C0,290,0832A0,800941A0,290,83210,800940F0,290,90AE0,800AD940,290,90AE0,800AD940,290,90AC0,800AD920,290,81710,8009A6B0,290,818C0,8009A300,290,
z_vr_box,,,83470,80094510,28F0,0835C0,80094660,28F0,835D0,80094670,28F0,836D0,80094DB0,28F0,83670,80094D50,28F0,836D0,80094DB0,28F0,836D0,80094EB0,28F0,834C0,800943A0,28D0,834A0,80094380,28D0,834A0,80094380,28D0,83480,80094360,28D0,83550,80094450,28D0,083530,80094430,28D0,834A0,80094380,28D0,90D70,800ADBD0,3480,90D70,800ADBD0,3480,90D50,800ADBB0,3480,819A0,8009A940,28D0,81B50,8009A590,28D0,
z_vr_box_draw,,,85D60,80096E00,700,085EB0,80096F50,700,85EC0,80096F60,700,85FC0,800976A0,700,85F60,80097640,700,85FC0,800976A0,700,85FC0,800977A0,700,85D90,80096C70,6E0,85D70,80096C50,6E0,85D70,80096C50,6E0,85D50,80096C30,6E0,85E20,80096D20,6E0,085E00,80096D00,6E0,85D70,80096C50,6E0,941F0,800B1050,720,941F0,800B1050,720,941D0,800B1030,720,84270,8009D210,6E0,84420,8009CE60,6E0,
z_player_call,,,86460,80097500,170,0865B0,80097650,170,865C0,80097660,170,866C0,80097DA0,170,86660,80097D40,170,866C0,80097DA0,170,866C0,80097EA0,170,86470,80097350,170,86450,80097330,170,86450,80097330,170,86430,80097310,170,86500,80097400,170,0864E0,800973E0,170,86450,80097330,170,94910,800B1770,160,94910,800B1770,160,948F0,800B1750,160,84950,8009D8F0,170,84B00,8009D540,170,
z_fbdemo,,,865D0,80097670,A20,086720,800977C0,A20,86730,800977D0,A20,86830,80097F10,A20,867D0,80097EB0,A20,86830,80097F10,A20,86830,80098010,A20,865E0,800974C0,A20,865C0,800974A0,A20,865C0,800974A0,A20,865A0,80097480,A20,86670,80097570,A20,086650,80097550,A20,865C0,800974A0,A20,94A70,800B18D0,B50,94A70,800B18D0,B50,94A50,800B18B0,B50,84AC0,8009DA60,A20,84C70,8009D6B0,A20,
z_fbdemo_triforce,,,86FF0,80098090,5B0,087140,800981E0,5B0,87150,800981F0,5B0,87250,80098930,5B0,871F0,800988D0,5B0,87250,80098930,5B0,87250,80098A30,5B0,87000,80097EE0,5C0,86FE0,80097EC0,5C0,86FE0,80097EC0,5C0,86FC0,80097EA0,5C0,87090,80097F90,5C0,087070,80097F70,5C0,86FE0,80097EC0,5C0,955C0,800B2420,5D0,955C0,800B2420,5D0,955A0,800B2400,5D0,854E0,8009E480,5C0,85690,8009E0D0,5C0,
z_fbdemo_wipe1,,,875A0,80098640,470,0876F0,80098790,470,87700,800987A0,470,87800,80098EE0,470,877A0,80098E80,470,87800,80098EE0,470,87800,80098FE0,470,875C0,800984A0,470,875A0,80098480,470,875A0,80098480,470,87580,80098460,470,87650,80098550,470,087630,80098530,470,875A0,80098480,470,95B90,800B29F0,460,95B90,800B29F0,460,95B70,800B29D0,460,85AA0,8009EA40,470,85C50,8009E690,470,
z_fbdemo_circle,,,87A10,80098AB0,6C0,087B60,80098C00,6C0,87B70,80098C10,6C0,87C70,80099350,6C0,87C10,800992F0,6C0,87C70,80099350,6C0,87C70,80099450,6C0,87A30,80098910,6C0,87A10,800988F0,6C0,87A10,800988F0,6C0,879F0,800988D0,6C0,87AC0,800989C0,6C0,087AA0,800989A0,6C0,87A10,800988F0,6C0,95FF0,800B2E50,6B0,95FF0,800B2E50,6B0,95FD0,800B2E30,6B0,85F10,8009EEB0,6C0,860C0,8009EB00,6C0,
z_fbdemo_fade,,,880D0,80099170,360,088220,800992C0,360,88230,800992D0,360,88330,80099A10,360,882D0,800999B0,360,88330,80099A10,360,88330,80099B10,360,880F0,80098FD0,360,880D0,80098FB0,360,880D0,80098FB0,360,880B0,80098F90,360,88180,80099080,360,088160,80099060,360,880D0,80098FB0,360,966A0,800B3500,360,966A0,800B3500,360,96680,800B34E0,360,865D0,8009F570,360,86780,8009F1C0,360,
shrink_window,,,88430,800994D0,170,088580,80099620,170,88590,80099630,170,88690,80099D70,170,88630,80099D10,170,88690,80099D70,170,88690,80099E70,170,88450,80099330,170,88430,80099310,170,88430,80099310,170,88410,800992F0,170,884E0,800993E0,170,0884C0,800993C0,170,88430,80099310,170,96A00,800B3860,310,96A00,800B3860,310,969E0,800B3840,310,86930,8009F8D0,170,86AE0,8009F520,170,
db_camera,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96D10,800B3B70,7550,96D10,800B3B70,7550,96CF0,800B3B50,7550,-,-,-,-,-,-,
code_800BB0A0,,,885A0,80099640,4D0,0886F0,80099790,4D0,88700,800997A0,4D0,88800,80099EE0,4D0,887A0,80099E80,4D0,88800,80099EE0,4D0,88800,80099FE0,4D0,885C0,800994A0,4D0,885A0,80099480,4D0,885A0,80099480,4D0,88580,80099460,4D0,88650,80099550,4D0,088630,80099530,4D0,885A0,80099480,4D0,9E260,800BB0C0,4D0,9E260,800BB0C0,4D0,9E240,800BB0A0,4D0,86AA0,8009FA40,4D0,86C50,8009F690,4D0,
mempak,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9E730,800BB590,720,9E730,800BB590,720,9E710,800BB570,720,-,-,-,-,-,-,
z_kaleido_manager,,,88A70,80099B10,230,088BC0,80099C60,230,88BD0,80099C70,230,88CD0,8009A3B0,230,88C70,8009A350,230,88CD0,8009A3B0,230,88CD0,8009A4B0,230,88A90,80099970,230,88A70,80099950,230,88A70,80099950,230,88A50,80099930,230,88B20,80099A20,230,088B00,80099A00,230,88A70,80099950,230,9EE50,800BBCB0,330,9EE50,800BBCB0,330,9EE30,800BBC90,330,86F70,8009FF10,230,87120,8009FB60,230,
z_kaleido_scope_call,,,88CA0,80099D40,2E0,088DF0,80099E90,2E0,88E00,80099EA0,2E0,88F00,8009A5E0,2E0,88EA0,8009A580,2E0,88F00,8009A5E0,2E0,88F00,8009A6E0,2E0,88CC0,80099BA0,2E0,88CA0,80099B80,2E0,88CA0,80099B80,2E0,88C80,80099B60,2E0,88D50,80099C50,2E0,088D30,80099C30,2E0,88CA0,80099B80,2E0,9F180,800BBFE0,490,9F180,800BBFE0,490,9F160,800BBFC0,490,871A0,800A0140,2E0,87350,8009FD90,2E0,
z_play,,,88F80,8009A020,3B30,0890D0,8009A170,3B30,890E0,8009A180,3B30,891E0,8009A8C0,3B30,89180,8009A860,3B30,891E0,8009A8C0,3B70,891E0,8009A9C0,3B70,88FA0,80099E80,3A60,88F80,80099E60,3A60,88F80,80099E60,3A60,88F60,80099E40,3A60,89030,80099F30,3A60,089010,80099F10,3A60,88F80,80099E60,3A60,9F610,800BC470,4A20,9F610,800BC470,4A20,9F5F0,800BC450,4A20,87480,800A0420,3A20,87630,800A0070,3A20,
PreRender,,,8CAB0,8009DB50,2220,8CC00,8009DCA0,2220,8CC10,8009DCB0,2220,8CD10,8009E3F0,2220,8CCB0,8009E390,2220,8CD50,8009E430,2220,8CD50,8009E530,2220,8CA00,8009D8E0,20F0,8C9E0,8009D8C0,20F0,8C9E0,8009D8C0,20F0,8C9C0,8009D8A0,20F0,8CA90,8009D990,20F0,08CA70,8009D970,20F0,8C9E0,8009D8C0,20F0,A4030,800C0E90,2A10,A4030,800C0E90,2A10,A4010,800C0E70,2A10,8AEA0,800A3E40,20F0,8B050,800A3A90,20F0,
TwoHeadGfxArena,,,8ECD0,8009FD70,210,8EE20,8009FEC0,210,8EE30,8009FED0,210,8EF30,800A0610,210,8EED0,800A05B0,210,8EF70,800A0650,210,8EF70,800A0750,210,8EAF0,8009F9D0,210,8EAD0,8009F9B0,210,8EAD0,8009F9B0,210,8EAB0,8009F990,210,8EB80,8009FA80,210,08EB60,8009FA60,210,8EAD0,8009F9B0,210,A6A40,800C38A0,3A0,A6A40,800C38A0,3A0,A6A20,800C3880,200,8CF90,800A5F30,210,8D140,800A5B80,210,
TwoHeadArena,,,8EEE0,8009FF80,1C0,8F030,800A00D0,1C0,8F040,800A00E0,1C0,8F140,800A0820,1C0,8F0E0,800A07C0,1C0,8F180,800A0860,1C0,8F180,800A0960,1C0,8ED00,8009FBE0,1C0,8ECE0,8009FBC0,1C0,8ECE0,8009FBC0,1C0,8ECC0,8009FBA0,1C0,8ED90,8009FC90,1C0,8ED70,8009FC70,1C0,8ECE0,8009FBC0,1C0,,,,,,,A6C20,800C3A80,1A0,8D1A0,800A6140,1C0,8D350,800A5D90,1C0,
audio_stop_all_sfx,,,8F0A0,800A0140,50,8F1F0,800A0290,50,8F200,800A02A0,50,8F300,800A09E0,50,8F2A0,800A0980,50,8F340,800A0A20,50,8F340,800A0B20,50,8EEC0,8009FDA0,50,8EEA0,8009FD80,50,8EEA0,8009FD80,50,8EE80,8009FD60,50,8EF50,8009FE50,50,08EF30,8009FE30,50,8EEA0,8009FD80,50,A6DE0,800C3C40,60,A6DE0,800C3C40,60,A6DC0,800C3C20,60,8D360,800A6300,50,8D510,800A5F50,50,
audio_thread_manager,,,8F0F0,800A0190,420,08F240,800A02E0,420,8F250,800A02F0,420,8F350,800A0A30,420,8F2F0,800A09D0,420,8F390,800A0A70,420,8F390,800A0B70,410,8EF10,8009FDF0,410,8EEF0,8009FDD0,410,8EEF0,8009FDD0,410,8EED0,8009FDB0,410,8EFA0,8009FEA0,410,08EF80,8009FE80,410,8EEF0,8009FDD0,410,A6E40,800C3CA0,430,A6E40,800C3CA0,430,A6E20,800C3C80,430,8D3B0,800A6350,410,8D560,800A5FA0,410,
title_setup,,,8F510,800A05B0,70,08F660,800A0700,70,08F670,800A0710,70,8F770,800A0E50,70,8F710,800A0DF0,70,8F7B0,800A0E90,70,8F7A0,800A0F80,70,8F320,800A0200,70,8F300,800A01E0,70,8F300,800A01E0,70,08F2E0,800A01C0,70,8F3B0,800A02B0,70,08F390,800A0290,70,8F300,800A01E0,70,A7270,800C40D0,80,A7270,800C40D0,80,A7250,800C40B0,80,08D7C0,800A6760,70,8D970,800A63B0,70,
game,,,8F580,800A0620,880,08F6D0,800A0770,880,8F6E0,800A0780,880,8F7E0,800A0EC0,840,8F780,800A0E60,840,8F820,800A0F00,840,8F810,800A0FF0,840,8F390,800A0270,780,8F370,800A0250,780,8F370,800A0250,780,8F350,800A0230,780,8F420,800A0320,780,08F400,800A0300,780,8F370,800A0250,780,A72F0,800C4150,14A0,A72F0,800C4150,14A0,A72D0,800C4130,14A0,8D830,800A67D0,780,8D9E0,800A6420,780,
gamealloc,,,8FE00,800A0EA0,140,08FF50,800A0FF0,140,8FF60,800A1000,140,90020,800A1700,140,8FFC0,800A16A0,140,90060,800A1740,140,90050,800A1830,140,8FB10,800A09F0,140,8FAF0,800A09D0,140,8FAF0,800A09D0,140,8FAD0,800A09B0,140,8FBA0,800A0AA0,140,08FB80,800A0A80,140,8FAF0,800A09D0,140,A8790,800C55F0,280,A8790,800C55F0,280,A8770,800C55D0,280,8DFB0,800A6F50,140,8E160,800A6BA0,140,
graph,,,8FF40,800A0FE0,970,090090,800A1130,970,900A0,800A1140,970,90160,800A1840,9A0,90100,800A17E0,9A0,901A0,800A1880,9A0,90190,800A1970,A90,8FC50,800A0B30,9A0,8FC30,800A0B10,9A0,8FC30,800A0B10,9A0,8FC10,800A0AF0,9A0,8FCE0,800A0BE0,9A0,08FCC0,800A0BC0,9A0,8FC30,800A0B10,9A0,A8A10,800C5870,1420,A8A10,800C5870,1420,A89F0,800C5850,1420,8E0F0,800A7090,9A0,8E2A0,800A6CE0,9A0,
gfxalloc,,"currently last 3 functions in graph, but must be a new file",908B0,800A1950,60,90A00,800A1AA0,60,90A10,800A1AB0,60,90B00,800A21E0,60,90AA0,800A2180,60,90B40,800A2220,60,90C20,800A2400,60,905F0,800A14D0,60,905D0,800A14B0,60,905D0,800A14B0,60,905B0,800A1490,60,90680,800A1580,60,090660,800A1560,60,905D0,800A14B0,60,,,,,,,,,,8EA90,800A7A30,60,8EC40,800A7680,60,
