,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size
boot_main,gcc,,0,80000450,140,0,80000450,
idle,,,140,80000590,390,,,
file_80000920,,,4D0,80000920,680,,,
file_80000FA0,,,B50,80000FA0,1CE0,,,
file_80002C80,,,2830,80002C80,60,,,
file_80002CE0,,,2890,80002CE0,1E0,,,
file_80002EC0,,,2A70,80002EC0,300,,,
file_800031C0,,,2D70,800031C0,130,,,
file_800032F0,,,2EA0,800032F0,220,,,
recvmesg,,,30C0,80003510,170,,,
file_80003680,,,3230,80003680,170,,,
file_800037F0,,,33A0,800037F0,10,,,
__osGetSR,,,33B0,80003800,10,,,
file_80003810,,,33C0,80003810,10,,,
__osSetFpcCsr,,,33D0,80003820,10,,,
file_80003830,,,33E0,80003830,170,,,
file_800039A0,,,3550,800039A0,110,,,
file_80003AB0,,,3660,80003AB0,190,,,
file_80003C40,,,37F0,80003C40,F0,,,
file_80003D30,,,38E0,80003D30,60,,,
file_80003D90,,,3940,80003D90,B0,,,
file_80003E40,,,39F0,80003E40,520,,,
file_80004360,,,3F10,80004360,40,,,
file_800043A0,,,3F50,800043A0,380,,,
file_80004720,,,42D0,80004720,180,,,
file_800048A0,,,4450,800048A0,C0,,,
file_80004960,,,4510,80004960,50,,,
file_800049B0,,,4560,800049B0,50,,,
file_80004A00,,,45B0,80004A00,310,,,
file_80004D10,,,48C0,80004D10,60,,,
file_80004D70,,,4920,80004D70,10,,,
exceptasm,handwritten,,4930,80004D80,A80,,,
__osDisableInt,,,53B0,80005800,70,,,
__osRestoreInt,,,5420,80005870,20,,,
file_80005890,,,5440,80005890,B0,,,
file_80005940,,,54F0,80005940,90,,,
file_800059D0,,,5580,800059D0,1F0,,,
file_80005BC0,,,5770,80005BC0,3C0,,,
file_80005F80,,,5B30,80005F80,60,,,
file_80005FE0,,,5B90,80005FE0,A0,,,
file_80006080,,,5C30,80006080,160,,,
file_800061E0,,,5D90,800061E0,5D0,,,
file_800067B0,,,6360,800067B0,30,,,
file_800067E0,,,6390,800067E0,590,,,
file_80006D70,,,6920,80006D70,80,,,
file_80006DF0,,,69A0,80006DF0,570,,,
file_80007360,,,6F10,80007360,D0,,,
__osGetCause,,,6FE0,80007430,10,,,
file_80007440,,,6FF0,80007440,10,,,
__osSetWatchLo,,,7000,80007450,100,,,
file_80007550,,,7100,80007550,B0,,,
file_80007600,,,71B0,80007600,50,,,
file_80007650,,,7200,80007650,50,,,
file_800076A0,,,7250,800076A0,130,,,
file_800077D0,,,7380,800077D0,50,,,
file_80007820,,,73D0,80007820,60,,,
__osProbeTLB,,,7430,80007880,C0,,,
osMapTLBRdb,,,74F0,80007940,60,,,
osUnmapTLBAll,,,7550,800079A0,50,,,
file_800079F0,,,75A0,800079F0,100,,,
file_80007AF0,,,76A0,80007AF0,70,,,
file_80007B60,,,7710,80007B60,70,,,
file_80007BD0,,,7780,80007BD0,E0,,,
file_80007CB0,,,7860,80007CB0,30,,,
file_80007CE0,,,7890,80007CE0,180,,,
file_80007E60,,,7A10,80007E60,180,,,
file_80007FE0,,,7B90,80007FE0,30,,,
file_80008010,,,7BC0,80008010,5E0,,,
file_800085F0,,,81A0,800085F0,590,,,
file_80008B80,,,8730,80008B80,570,,,
file_800090F0,,,8CA0,800090F0,510,,,
file_80009600,,,91B0,80009600,50,,,
file_80009650,,,9200,80009650,50,,,
file_800096A0,,,9250,800096A0,2C0,,,
file_80009960,,,9510,80009960,70,,,
file_800099D0,,,9580,800099D0,200,,,
file_80009BD0,,,9780,80009BD0,60,,,
rsp_boot,microcode,,97E0,80009C30,F0,,,